State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
United States,501613665,151090,194228,411963025,124087,384221527,148773,219900525,66.2,204788212,79.3,190179553,57.3,177683586,68.8,282024735,195433980,24135600,19350,15393747,154369262,241772516,427500,69765141,105146362,15151881,116169,69685389,92760355,15124196,113646,175137699,66.2,204788212,79.3,52.8,162668526,63,219900525,52572844,96.1,46264299,84.6,26163848,27856103,3258183,50670,105968554,193739,917084,219666287,77.5,190046408,67,69761632,105019928,15148758,116090,411596119,145160,176907,12037101,6.3,12013515,6.8,9932068,21.5,7511568,16.2,1729927,10289531,12105,5538
Alaska,1128425,154252,204587,849541,116130,788828,143017,430458,58.8,398128,72.2,381595,52.2,354194,64.2,611625,444400,72400,0,35833,323595,489531,582,144214,203819,33490,72,143824,176950,33353,67,348373,58.8,398128,72.2,47.6,321106,58.2,430458,80535,87.9,74956,81.8,41492,30428,3211,29,168332,183793,1232070,429106,70.5,380726,62.5,144210,202956,33488,72,847299,139158,185329,38499,10.1,38336,10.8,27223,36.3,16408,21.9,0,0,0,0
Alabama,7045270,143688,184679,4742444,96722,4497035,117881,2644229,53.9,2504305,65.6,2170323,44.3,2064590,54.1,3599190,3129080,317000,0,140839,2051403,2550053,149,924319,1102481,143085,438,923887,997264,143002,437,2028546,53.9,2504305,65.6,41.4,1922893,50.4,2644229,745572,87.7,647087,76.1,342373,271409,34793,289,1428575,168100,829014,2643824,63.1,2170239,51.8,924308,1102417,143076,438,4741996,113258,168270,138996,6.4,138670,6.7,117026,18.1,88113,13.6,0,0,0,0
Arkansas,4290340,142168,185116,3168727,105001,2953704,127444,1734334,57.5,1613682,69.6,1434030,47.5,1338939,57.8,2223540,1864800,202000,0,100977,1331562,1733168,3020,605828,727298,100159,745,604753,633825,99644,717,1334604,57.5,1613682,69.6,44.2,1239997,53.5,1734334,458576,87.5,392792,75,223757,160815,15330,420,893707,170593,818952,1730482,67.7,1432518,56,605817,725918,100040,743,3163434,123705,167772,99512,6.9,99321,7.4,78656,20,58235,14.8,0,0,0,0
American Samoa,70650,126865,162882,65441,117512,54185,124922,35202,63.2,29178,67.3,30797,55.3,25601,59,49350,20700,600,0,546,17918,46976,1,8281,21961,555,0,8265,16782,554,0,30244,63.2,29178,67.3,54.3,25049,57.7,35202,2902,30.8,2645,28,1119,1501,25,0,5452,57779,748728,35191,74,30790,64.7,8280,21955,555,0,65423,137568,148559,20,0.1,16,0.1,8,0.3,1,0,0,0,0,0
Arizona,10471530,143865,185715,8602398,118186,8015447,142156,4422905,60.8,4108214,72.9,3829511,52.6,3569823,63.3,5815950,4175980,479600,0,297393,3400262,4889187,15556,1477994,2058975,287965,4577,1477393,1800360,287546,4524,3544071,60.8,4108214,72.9,48.7,3284789,58.3,4422905,1182315,90.3,1039223,79.4,503977,489350,46846,2454,2509487,191764,800188,4421904,71.3,3829121,61.7,1477969,2058850,287726,4576,8601243,138594,168731,246563,6.4,245791,6.9,206314,19.9,160241,15.4,0,0,0,0
Bureau of Prisons,262810,0,0,235956,0,235954,0,125970,0,125968,0,119714,0,119713,0,139230,110780,12800,0,11909,95055,128962,30,45454,62384,11876,0,45454,62384,11875,0,107893,0,125968,0,0,107893,0,125970,3555,0,3510,0,1684,1654,172,0,7012,0,0,125968,0,119713,0,45454,62384,11875,0,235954,0,0,1750,1.5,1750,1.5,634,18.1,110,3.1,0,0,0,0
California,61321935,155197,200283,52985233,134098,48892730,159688,29152953,73.8,26890179,87.8,23974163,60.7,22141434,72.3,35294895,23121040,2906000,0,1906669,19725908,31338276,14380,8674639,13399559,1895818,4147,8649164,11600138,1888264,3868,22098416,73.8,26890179,87.8,55.9,20273149,66.2,29152953,5963509,99.9,4794512,82.1,2405302,2214978,190531,1292,11494071,196880,1050370,29071502,86.4,23925137,71.1,8674208,13351337,1895454,4138,52854520,157089,182255,1433608,6,1431164,6.5,1119640,23.4,821783,17.1,0,0,0,0
Colorado,8747685,151903,194427,7517784,130546,6980527,155150,3861468,67.1,3576903,79.5,3515326,61,3263774,72.5,4989405,3369080,389200,0,277374,2885552,4349347,5511,1324656,1915813,273269,1588,1320992,1669181,272068,1533,3245250,67.1,3576903,79.5,56.4,2994843,66.6,3861468,782126,92.8,720448,85.5,345995,352327,25228,567,1694125,201104,1038410,3849570,78,3507182,71.1,1324635,1907716,273244,1587,7497567,151894,177220,289848,8.2,289250,8.9,225102,31.2,177141,24.6,0,0,0,0
Connecticut,5959195,167145,209990,5276862,148007,4881315,172008,2786425,78.2,2576250,90.8,2504611,70.2,2323520,81.9,3322335,2357060,279800,0,209385,1893564,3172556,1357,889004,1406484,208714,409,888584,1226091,208537,308,2296975,78.2,2576250,90.8,64.4,2116047,74.6,2786425,649308,99.9,586304,93,230955,335554,20864,87,1357508,215394,945538,2785048,89.7,2504108,80.6,888773,1406297,208633,405,5275062,169837,191864,165782,6.6,165585,7.1,150157,25.6,125348,21.4,0,0,0,0
